otto.de;Department Stores;Fashion;Sport & Recreation;;;;;
lidl.de;Department Stores;Food;;;;;;
smava.de;Other;;;;;;;
qvc.de;Health;Fashion;;;;;;
o2online.de;IT & Office;;;;;;;
adobe.com;IT & Office;;;;;;;
bueromarkt-ag.de;Department Stores;IT & Office;Books & Media;;;;;
alternate.de;IT & Office;Department Stores;Books & Media;;;;;
verivox.de;IT & Office;Other;;;;;;
idealo.de;Books & Media;IT & Office;;;;;;
comdirect.de;Other;;;;;;;
douglas.de;Health;;;;;;;
brands4friends.net;Fashion;;;;;;;
audible.de;IT & Office;Books & Media;;;;;;
soliver.de;Fashion;;;;;;;
docmorris.de;Health;;;;;;;
betten.de;Home, Garden & Pets;;;;;;;
vodafone.de;IT & Office;;;;;;;
hrs.de;Holiday;;;;;;;
ikea.com;Home, Garden & Pets;Department Stores;;;;;;
baur.de;Fashion;Department Stores;IT & Office;Books & Media;;;;
creditplus.de;Other;;;;;;;
booking.com;Holiday;;;;;;;
thalia.de;Department Stores;Books & Media;Sport & Recreation;Electronics;IT & Office;;;
nike.com;Sport & Recreation;Fashion;;;;;;
udemy.com;Other;;;;;;;
navabi.de;Fashion;;;;;;;
kfzteile24.de;Vehicles;Hobby;;;;;;
christ.de;Fashion;;;;;;;
blau.de;IT & Office;;;;;;;
mmoga.de;IT & Office;Books & Media;;;;;;
check24.de;Other;;;;;;;
medpex.de;Health;;;;;;;
mobile.de;IT & Office;;;;;;;
misterspex.de;Fashion;Health;;;;;;
aida.de;Holiday;Sport & Recreation;;;;;;
sky.de;IT & Office;;;;;;;
bet-at-home.com;Other;;;;;;;
mytoys.de;Toys;;;;;;;
telekom.de;IT & Office;;;;;;;
tchibo.de;IT & Office;;;;;;;
fewo-direkt.de;Holiday;;;;;;;
mysn.de;IT & Office;Books & Media;;;;;;
mediamarkt.de;Department Stores;IT & Office;Books & Media;;;;;
notebooksbilliger.de;IT & Office;;;;;;;
dehner.de;Home, Garden & Pets;;;;;;;
hse24.de;Department Stores;Fashion;Home, Garden & Pets;Sport & Recreation;;;;
etoro.com;Other;;;;;;;
musicstore.de;IT & Office;Books & Media;Hobby;;;;;
accorhotels.com;Holiday;;;;;;;
shein.com;Fashion;;;;;;;
apodiscounter.de;Health;;;;;;;
gebuhrenfrei.com;Other;;;;;;;
bahn.de;Holiday;;;;;;;
kreuzfahrten-zentrale.de;Holiday;;;;;;;
shop-apotheke.com;Health;;;;;;;
1und1.de;IT & Office;Electronics;;;;;;
dkb.de;Other;;;;;;;
weg.de;Holiday;;;;;;;
all4golf.de;Sport & Recreation;Fashion;;;;;;
autodoc.de;Vehicles;Hobby;;;;;;
aboutyou.de;Fashion;;;;;;;
atlasformen.de;Fashion;Sport & Recreation;;;;;;
medimops.de;Books & Media;;;;;;;
tripadvisor.de;Holiday;;;;;;;
5vorflug.de;Holiday;;;;;;;
ao.de;Home, Garden & Pets;;;;;;;
yourhome.de;Home, Garden & Pets;;;;;;;
heine.de;Fashion;;;;;;;
dm.de;Health;;;;;;;
spar-mit.com;Holiday;;;;;;;
myfairtrade.com;Health;Sport & Recreation;;;;;;
groupon.de;Other;;;;;;;
movavi.com;IT & Office;;;;;;;
easycosmetic.de;Health;;;;;;;
bw-online-shop.com;Sport & Recreation;Fashion;;;;;;
tom-tailor.de;Fashion;;;;;;;
emp.de;Fashion;Books & Media;Department Stores;;;;;
carcredit-santander.de;Vehicles;Other;;;;;;
stage-entertainment.de;Sport & Recreation;;;;;;;
allnatura.de;Home, Garden & Pets;;;;;;;
casamundo.de;Holiday;;;;;;;
bikebox-shop.de;Vehicles;;;;;;;
buecher.de;Books & Media;;;;;;;
thomann.de;Hobby;Electronics;;;;;;
bike-components.de;Vehicles;;;;;;;
conleys.de;Fashion;;;;;;;
tui.com;Holiday;;;;;;;
aliexpress.com;Department Stores;Fashion;Toys;Hobby;IT & Office;;;
reifendirekt.de;Vehicles;;;;;;;
netcologne.de;IT & Office;;;;;;;
avira.com;IT & Office;;;;;;;
rumundco.de;Food;;;;;;;
walmart.com;Department Stores;;DOESN'T SHIP TO EU!!!!!!;;;;;
canvasholidays.de;Holiday;;;;;;;
