superdry.de;Fashion;;;;;;;
armedangels.de;Fashion;;;;;;;
mandmdirect.de;Fashion;;;;;;;
klarmobil.de;Electronics;IT & Office;;;;;;
maxxim.de;Electronics;IT & Office;;;;;;
intersport.de;Sport & Recreation;Fashion;;;;;;
goertz.de;Fashion;;;;;;;
albamoda.de;Fashion;;;;;;;
smartmobil.de;Electronics;IT & Office;;;;;;
schiesser.com;Fashion;;;;;;;
hosteurope.de;IT & Office;;;;;;;
rossmann.de;Health;Home, Garden & Pets;;;;;;
louis.de;Vehicles;Hobby;Sport & Recreation;Fashion;;;;
zinspilot.de;Other;;;;;;;
sheego.de;Fashion;;;;;;;
lascana.de;Fashion;;;;;;;
eprimo.de;Other;;;;;;;
asmc.de;Fashion;Sport & Recreation;Hobby;;;;;
eis.de;Erotica;;;;;;;
888casino.com;Other;;;;;;;
ikarus.de;Home, Garden & Pets;;;;;;;
quelle.de;Department Stores;Home, Garden & Pets;Hobby;Electronics;Fashion;Books & Media;Sport & Recreation;Toys
maxdome.de;Books & Media;;;;;;;
galeria-kaufhof.de;Department Stores;Home, Garden & Pets;Hobby;Electronics;Fashion;Books & Media;Sport & Recreation;Toys
bavariadirekt.de;Other;;;;;;;
wayfair.de;Home, Garden & Pets;;;;;;;
reifen-richtig-billig.de;Vehicles;Hobby;;;;;;
uniqlo.com;Fashion;;;;;;;
vangraaf.com;Fashion;;;GEEN WEBSHOP;;;;
e-hoi.de;Holiday;;;;;;;
sunnycars.de;Vehicles;Holiday;;;;;;
mobilcom-debitel.de;Electronics;IT & Office;;;;;;
rewe.de;Food;;;;;;;
bonprix.de;Fashion;;;;;;;
parship.de;Dating;;;;;;;
landal.de;Holiday;;;;;;;
cecil.de;Fashion;;;;;;;
vivobarefoot.de;Fashion;;;;;;;
usenext.com;IT & Office;;;;;;;
na-kd.com;Fashion;;;;;;;
lacoste.com;Fashion;;;;;;;
wunderino.com;Other;;;;;;;
baldur-garten.de;Home, Garden & Pets;Gifts & Gadgets;;;;;;
rakuten.de;Department Stores;Home, Garden & Pets;Hobby;Electronics;Fashion;Books & Media;Sport & Recreation;Toys
outletcity.com;Fashion;;;;;;;
handyservice.de;Electronics;IT & Office;;;;;;
najoba.de;Health;;;;;;;
nordvpn.com;IT & Office;;;;;;;
meinfoto.de;Home, Garden & Pets;Gifts & Gadgets;;;;;;
klingel.de;Fashion;Books & Media;Electronics;;;;;
fritzreifen.de;Vehicles;;;;;;;
floordirekt.de;Home, Garden & Pets;;;;;;;
bitdefender.de;IT & Office;;;;;;;
nkd.com;Fashion;Sport & Recreation;;;;;;
europcar.de;Vehicles;Holiday;;;;;;
csl-computer.com;IT & Office;Electronics;Hobby;;;;;
sport-tiedje.de;Sport & Recreation;Vehicles;;;;;;
moebel.de;Home, Garden & Pets;;;;;;;
atu.de;Vehicles;;;;;;;
